c_{A0}                        ;Q_{1}                         ;T_{1}                         ;L                             ;c_{A}                         ;c_{B}                         ;T_{2}                         ;Q_{5}                         ;Q_{4}                         ;T_{3}                         ;\mathrm{PCW}                  ;\mathrm{CNT}_{1}              ;\mathrm{CNT}_{3}=SP_{Q_{5}}   ;\mathrm{CNT}_{2}              ;\mathrm{INV\ CON}             ;\mathrm{CW\ DP\ CON}          ;\mathrm{EFFL\ DP\ CON}        ;\mathrm{MOLBAL\ CON}          ;     CLASS
    0.20000E+02;    0.25000E+00;    0.30000E+02;    0.20000E+01;    0.28500E+01;    0.17110E+02;    0.80000E+02;    0.90000E+00;    0.25000E+00;    0.20000E+02;    0.56250E+05;    0.25300E+02;    0.40700E+02;    0.90000E+00;    0.00000E+00;    0.00000E+00;    0.00000E+00;    0.00000E+00; normal    
    0.20028E+02;    0.24970E+00;    0.30014E+02;    0.19984E+01;    0.28329E+01;    0.17268E+02;    0.79868E+02;    0.90304E+00;    0.24838E+00;    0.20306E+02;    0.55209E+05;    0.24763E+02;    0.40597E+02;    0.89813E+00;   -0.18124E-02;    0.14188E-01;    0.43298E-03;    0.33522E+00; normal    
    0.20086E+02;    0.25077E+00;    0.30060E+02;    0.20022E+01;    0.28604E+01;    0.17144E+02;    0.80021E+02;    0.89815E+00;    0.25347E+00;    0.19795E+02;    0.56563E+05;    0.25321E+02;    0.40652E+02;    0.89921E+00;    0.41335E-02;   -0.28398E-02;    0.30084E-02;    0.16896E+00; normal    
    0.20105E+02;    0.24694E+00;    0.29889E+02;    0.20039E+01;    0.28829E+01;    0.16987E+02;    0.79877E+02;    0.90497E+00;    0.24873E+00;    0.20126E+02;    0.55972E+05;    0.25130E+02;    0.40932E+02;    0.90946E+00;    0.70288E-02;    0.21140E-02;   -0.88286E-03;   -0.17106E+00; normal    
    0.19908E+02;    0.24958E+00;    0.30020E+02;    0.19908E+01;    0.28599E+01;    0.17140E+02;    0.80036E+02;    0.90719E+00;    0.24790E+00;    0.20058E+02;    0.55763E+05;    0.25262E+02;    0.40954E+02;    0.90466E+00;   -0.12472E-01;    0.55096E-02;   -0.22681E-02;   -0.17998E+00; normal    
    0.19857E+02;    0.25286E+00;    0.30193E+02;    0.19856E+01;    0.28385E+01;    0.17162E+02;    0.80156E+02;    0.90775E+00;    0.25105E+00;    0.19951E+02;    0.55948E+05;    0.25104E+02;    0.40876E+02;    0.90212E+00;   -0.20409E-01;    0.64076E-02;    0.15991E-02;   -0.33101E+00; normal    
    0.19639E+02;    0.25050E+00;    0.30199E+02;    0.20089E+01;    0.28117E+01;    0.17078E+02;    0.79889E+02;    0.89961E+00;    0.25298E+00;    0.20322E+02;    0.55713E+05;    0.25325E+02;    0.40790E+02;    0.89783E+00;    0.15890E-01;    0.21895E-02;    0.24808E-02;    0.60018E-01; normal    
    0.20000E+02;    0.24729E+00;    0.30149E+02;    0.19951E+01;    0.28455E+01;    0.17066E+02;    0.80117E+02;    0.89958E+00;    0.24961E+00;    0.19955E+02;    0.55924E+05;    0.25548E+02;    0.40845E+02;    0.90060E+00;   -0.43835E-02;   -0.84134E-03;   -0.18537E-02;   -0.27642E+00; normal    
    0.20131E+02;    0.25226E+00;    0.30151E+02;    0.19840E+01;    0.28521E+01;    0.17271E+02;    0.79813E+02;    0.89805E+00;    0.24872E+00;    0.19866E+02;    0.56669E+05;    0.25145E+02;    0.40571E+02;    0.90160E+00;   -0.21479E-01;   -0.18645E-02;   -0.90996E-03;    0.75160E-02; normal    
    0.19906E+02;    0.25348E+00;    0.29807E+02;    0.19992E+01;    0.28372E+01;    0.17095E+02;    0.80173E+02;    0.90476E+00;    0.25168E+00;    0.19975E+02;    0.56506E+05;    0.25261E+02;    0.40683E+02;    0.89648E+00;    0.63272E-03;    0.34984E-02;    0.14853E-02;   -0.11635E+00; normal    
    0.19797E+02;    0.24688E+00;    0.29884E+02;    0.20005E+01;    0.28725E+01;    0.16837E+02;    0.80131E+02;    0.90053E+00;    0.24782E+00;    0.20064E+02;    0.56646E+05;    0.25261E+02;    0.40728E+02;    0.90047E+00;    0.24019E-02;   -0.29229E-02;   -0.23711E-02;   -0.74485E+00; normal    
    0.19793E+02;    0.24794E+00;    0.30030E+02;    0.19908E+01;    0.28409E+01;    0.17197E+02;    0.80010E+02;    0.90498E+00;    0.24858E+00;    0.20239E+02;    0.55851E+05;    0.24865E+02;    0.40697E+02;    0.89896E+00;   -0.12266E-01;    0.86236E-02;    0.19599E-03;   -0.34352E-01; normal    
    0.19661E+02;    0.25341E+00;    0.29932E+02;    0.19999E+01;    0.28347E+01;    0.17247E+02;    0.79730E+02;    0.90135E+00;    0.25392E+00;    0.19940E+02;    0.56096E+05;    0.24870E+02;    0.40755E+02;    0.90085E+00;    0.12948E-02;    0.16573E-02;    0.54874E-02;    0.36949E+00; normal    
    0.20113E+02;    0.24769E+00;    0.30015E+02;    0.20021E+01;    0.28228E+01;    0.17111E+02;    0.79643E+02;    0.89942E+00;    0.25213E+00;    0.19899E+02;    0.56413E+05;    0.25305E+02;    0.40692E+02;    0.89350E+00;    0.52441E-02;   -0.13230E-02;    0.17389E-02;   -0.65029E-02; normal    
    0.19842E+02;    0.24836E+00;    0.29895E+02;    0.19878E+01;    0.28483E+01;    0.16810E+02;    0.80130E+02;    0.90016E+00;    0.24633E+00;    0.19900E+02;    0.55710E+05;    0.25011E+02;    0.40552E+02;    0.90239E+00;   -0.16562E-01;    0.83450E-02;   -0.27114E-02;   -0.12652E+01; normal    
    0.20365E+02;    0.25043E+00;    0.30107E+02;    0.20110E+01;    0.28621E+01;    0.16929E+02;    0.79943E+02;    0.90040E+00;    0.25103E+00;    0.20118E+02;    0.56225E+05;    0.25179E+02;    0.40514E+02;    0.89444E+00;    0.18575E-01;    0.53618E-02;    0.11772E-02;   -0.16920E+00; normal    
    0.20312E+02;    0.25059E+00;    0.30026E+02;    0.20047E+01;    0.28705E+01;    0.16768E+02;    0.79884E+02;    0.89387E+00;    0.25316E+00;    0.20085E+02;    0.55704E+05;    0.25451E+02;    0.40660E+02;    0.90006E+00;    0.92722E-02;   -0.44019E-03;    0.21086E-02;   -0.80785E+00; normal    
    0.19745E+02;    0.24906E+00;    0.29833E+02;    0.19862E+01;    0.28521E+01;    0.17456E+02;    0.80296E+02;    0.90031E+00;    0.24760E+00;    0.20142E+02;    0.56261E+05;    0.24964E+02;    0.40531E+02;    0.89976E+00;   -0.18996E-01;    0.45656E-02;   -0.12237E-02;    0.62468E+00; normal    
    0.19931E+02;    0.25281E+00;    0.29991E+02;    0.20056E+01;    0.28573E+01;    0.17036E+02;    0.80217E+02;    0.90122E+00;    0.24768E+00;    0.19899E+02;    0.56179E+05;    0.25062E+02;    0.40635E+02;    0.89797E+00;    0.11126E-01;    0.37001E-02;   -0.16302E-02;   -0.51590E-02; normal    
    0.20049E+02;    0.24744E+00;    0.30117E+02;    0.19936E+01;    0.28408E+01;    0.16785E+02;    0.79965E+02;    0.89558E+00;    0.24801E+00;    0.20037E+02;    0.56464E+05;    0.25143E+02;    0.40793E+02;    0.89763E+00;   -0.68101E-02;   -0.79424E-02;   -0.16346E-02;   -0.11615E+01; normal    
    0.20210E+02;    0.25079E+00;    0.30018E+02;    0.19915E+01;    0.28614E+01;    0.17364E+02;    0.80049E+02;    0.90033E+00;    0.25399E+00;    0.19851E+02;    0.56373E+05;    0.25164E+02;    0.40595E+02;    0.90113E+00;   -0.10755E-01;    0.22026E-02;    0.42549E-02;    0.56808E+00; normal    
    0.19887E+02;    0.25153E+00;    0.30159E+02;    0.20066E+01;    0.28709E+01;    0.17035E+02;    0.79714E+02;    0.85625E+00;    0.24974E+00;    0.20036E+02;    0.56731E+05;    0.25305E+02;    0.43885E+02;    0.90053E+00;    0.11804E-01;   -0.12210E+00;   -0.66915E-03;    0.73626E-01; 17        
    0.20135E+02;    0.24863E+00;    0.30124E+02;    0.20207E+01;    0.28427E+01;    0.17100E+02;    0.80258E+02;    0.87141E+00;    0.24675E+00;    0.20063E+02;    0.56503E+05;    0.24847E+02;    0.47090E+02;    0.90955E+00;    0.33477E-01;   -0.17855E+00;   -0.16307E-02;    0.61819E+00; 17        
    0.20011E+02;    0.24972E+00;    0.30163E+02;    0.19963E+01;    0.28356E+01;    0.17241E+02;    0.80140E+02;    0.88685E+00;    0.25158E+00;    0.19948E+02;    0.56271E+05;    0.25298E+02;    0.49242E+02;    0.91340E+00;   -0.27099E-02;   -0.20884E+00;    0.12326E-02;    0.29814E+00; 17        
    0.19929E+02;    0.24911E+00;    0.29726E+02;    0.19971E+01;    0.28479E+01;    0.17307E+02;    0.80279E+02;    0.90267E+00;    0.25343E+00;    0.20167E+02;    0.56162E+05;    0.25467E+02;    0.50351E+02;    0.91446E+00;   -0.16137E-02;   -0.21604E+00;    0.23276E-02;    0.56014E+00; 17        
    0.20082E+02;    0.24895E+00;    0.30141E+02;    0.19965E+01;    0.28361E+01;    0.17037E+02;    0.80044E+02;    0.90264E+00;    0.24930E+00;    0.20077E+02;    0.55470E+05;    0.24859E+02;    0.50959E+02;    0.91462E+00;   -0.32727E-02;   -0.22211E+00;    0.92316E-03;   -0.32223E+00; 17        
    0.19928E+02;    0.25325E+00;    0.29941E+02;    0.20050E+01;    0.28279E+01;    0.16838E+02;    0.79937E+02;    0.91642E+00;    0.24960E+00;    0.19914E+02;    0.56200E+05;    0.25237E+02;    0.51241E+02;    0.91685E+00;    0.98459E-02;   -0.22172E+00;   -0.49583E-03;   -0.67824E+00; 17        
    0.20112E+02;    0.25090E+00;    0.30090E+02;    0.20046E+01;    0.28320E+01;    0.17120E+02;    0.80076E+02;    0.91687E+00;    0.24923E+00;    0.19740E+02;    0.57010E+05;    0.25094E+02;    0.51343E+02;    0.92013E+00;    0.89116E-02;   -0.23161E+00;   -0.21850E-03;    0.16595E+00; 17        
    0.19646E+02;    0.25342E+00;    0.30093E+02;    0.19857E+01;    0.28246E+01;    0.16986E+02;    0.79872E+02;    0.91797E+00;    0.25219E+00;    0.19944E+02;    0.56730E+05;    0.25421E+02;    0.51573E+02;    0.92122E+00;   -0.19607E-01;   -0.23259E+00;    0.13131E-02;   -0.81987E+00; 17        
    0.19768E+02;    0.25190E+00;    0.30039E+02;    0.19967E+01;    0.28193E+01;    0.17074E+02;    0.80045E+02;    0.90676E+00;    0.25017E+00;    0.19848E+02;    0.57142E+05;    0.25370E+02;    0.51222E+02;    0.91312E+00;   -0.44357E-02;   -0.24047E+00;   -0.49858E-03;   -0.27642E+00; 17        
    0.20218E+02;    0.25211E+00;    0.30305E+02;    0.20042E+01;    0.28569E+01;    0.17089E+02;    0.79945E+02;    0.91880E+00;    0.24789E+00;    0.19722E+02;    0.56788E+05;    0.25158E+02;    0.51129E+02;    0.90597E+00;    0.69563E-02;   -0.22288E+00;   -0.18497E-02;    0.11395E+00; 17        
    0.20264E+02;    0.25105E+00;    0.30125E+02;    0.19890E+01;    0.28870E+01;    0.17311E+02;    0.79727E+02;    0.91263E+00;    0.24623E+00;    0.19923E+02;    0.55383E+05;    0.24812E+02;    0.51088E+02;    0.91002E+00;   -0.16463E-01;   -0.21398E+00;   -0.19162E-02;    0.40129E+00; 17        
    0.19760E+02;    0.24929E+00;    0.30070E+02;    0.20038E+01;    0.29205E+01;    0.17306E+02;    0.79850E+02;    0.89907E+00;    0.25017E+00;    0.20165E+02;    0.56570E+05;    0.25125E+02;    0.50833E+02;    0.90933E+00;    0.64146E-02;   -0.23408E+00;    0.58306E-03;    0.94589E+00; 17        
    0.20198E+02;    0.25111E+00;    0.29924E+02;    0.19897E+01;    0.28065E+01;    0.17026E+02;    0.80102E+02;    0.90474E+00;    0.25157E+00;    0.19640E+02;    0.55698E+05;    0.25377E+02;    0.50754E+02;    0.90439E+00;   -0.15488E-01;   -0.21796E+00;    0.88550E-03;   -0.69395E+00; 17        
    0.19951E+02;    0.24976E+00;    0.29989E+02;    0.20167E+01;    0.28462E+01;    0.17203E+02;    0.80005E+02;    0.89919E+00;    0.24593E+00;    0.20049E+02;    0.56194E+05;    0.25144E+02;    0.50421E+02;    0.89375E+00;    0.25735E-01;   -0.22135E+00;   -0.37724E-02;    0.78333E+00; 17        
    0.19889E+02;    0.24892E+00;    0.29919E+02;    0.19991E+01;    0.28483E+01;    0.17209E+02;    0.79925E+02;    0.89734E+00;    0.25231E+00;    0.19871E+02;    0.55908E+05;    0.25099E+02;    0.50236E+02;    0.89201E+00;   -0.70256E-03;   -0.21638E+00;    0.28462E-02;    0.26947E+00; 17        
    0.20013E+02;    0.24787E+00;    0.30071E+02;    0.19943E+01;    0.28613E+01;    0.17165E+02;    0.79907E+02;    0.89792E+00;    0.24970E+00;    0.19898E+02;    0.56409E+05;    0.25131E+02;    0.50124E+02;    0.89474E+00;   -0.77891E-02;   -0.21835E+00;    0.10554E-03;    0.53736E-01; 17        
    0.19866E+02;    0.24956E+00;    0.30033E+02;    0.19914E+01;    0.28513E+01;    0.17073E+02;    0.79951E+02;    0.89870E+00;    0.24920E+00;    0.19820E+02;    0.56493E+05;    0.25267E+02;    0.50257E+02;    0.89801E+00;   -0.11581E-01;   -0.22127E+00;   -0.99701E-03;   -0.32386E+00; 17        
    0.20121E+02;    0.25219E+00;    0.30168E+02;    0.19971E+01;    0.28440E+01;    0.16973E+02;    0.80104E+02;    0.89573E+00;    0.24806E+00;    0.19998E+02;    0.56013E+05;    0.25216E+02;    0.50033E+02;    0.89941E+00;   -0.33393E-02;   -0.21464E+00;   -0.19223E-02;   -0.47051E+00; 17        
    0.20370E+02;    0.24653E+00;    0.30085E+02;    0.19940E+01;    0.28691E+01;    0.17145E+02;    0.80099E+02;    0.89183E+00;    0.24878E+00;    0.20197E+02;    0.56276E+05;    0.25102E+02;    0.50227E+02;    0.89727E+00;   -0.83204E-02;   -0.22536E+00;   -0.68544E-03;    0.14702E-01; 17        
    0.20132E+02;    0.25150E+00;    0.29902E+02;    0.19938E+01;    0.28573E+01;    0.17239E+02;    0.80136E+02;    0.89635E+00;    0.25068E+00;    0.20180E+02;    0.56609E+05;    0.25397E+02;    0.50269E+02;    0.89382E+00;   -0.88973E-02;   -0.22503E+00;   -0.10934E-03;    0.25416E+00; 17        
    0.19958E+02;    0.25080E+00;    0.30016E+02;    0.20038E+01;    0.28525E+01;    0.16928E+02;    0.79916E+02;    0.89453E+00;    0.25275E+00;    0.20088E+02;    0.56954E+05;    0.25252E+02;    0.50235E+02;    0.89215E+00;    0.63594E-02;   -0.22954E+00;    0.25902E-02;   -0.37543E+00; 17        
    0.19909E+02;    0.25121E+00;    0.30031E+02;    0.19945E+01;    0.28559E+01;    0.17156E+02;    0.80251E+02;    0.90097E+00;    0.24762E+00;    0.19979E+02;    0.56247E+05;    0.25188E+02;    0.50501E+02;    0.90585E+00;   -0.68628E-02;   -0.22183E+00;   -0.22329E-02;    0.63447E-01; 17        
    0.20206E+02;    0.24977E+00;    0.29738E+02;    0.20065E+01;    0.28410E+01;    0.17203E+02;    0.80308E+02;    0.89500E+00;    0.25053E+00;    0.20018E+02;    0.56757E+05;    0.25154E+02;    0.50140E+02;    0.89400E+00;    0.11611E-01;   -0.22504E+00;    0.80459E-03;    0.53272E+00; 17        
    0.19843E+02;    0.25359E+00;    0.29885E+02;    0.19896E+01;    0.28715E+01;    0.17109E+02;    0.79646E+02;    0.90018E+00;    0.24998E+00;    0.20146E+02;    0.56537E+05;    0.25365E+02;    0.50359E+02;    0.89565E+00;   -0.13247E-01;   -0.22244E+00;   -0.65112E-03;   -0.14870E+00; 17        
    0.19959E+02;    0.25145E+00;    0.29994E+02;    0.19967E+01;    0.28442E+01;    0.17215E+02;    0.80346E+02;    0.90566E+00;    0.24977E+00;    0.19926E+02;    0.56786E+05;    0.25197E+02;    0.50398E+02;    0.90839E+00;   -0.27375E-02;   -0.22027E+00;   -0.12458E-03;    0.29606E+00; 17        
    0.20291E+02;    0.24969E+00;    0.29937E+02;    0.19847E+01;    0.28550E+01;    0.17102E+02;    0.80312E+02;    0.91047E+00;    0.25131E+00;    0.19937E+02;    0.56563E+05;    0.25075E+02;    0.50704E+02;    0.90675E+00;   -0.20506E-01;   -0.21984E+00;    0.19923E-02;   -0.35986E+00; 17        
    0.19990E+02;    0.24518E+00;    0.30104E+02;    0.19951E+01;    0.28172E+01;    0.16980E+02;    0.79971E+02;    0.89840E+00;    0.24945E+00;    0.20098E+02;    0.56102E+05;    0.24868E+02;    0.50439E+02;    0.89956E+00;   -0.60079E-02;   -0.22160E+00;    0.10460E-02;   -0.55624E+00; 17        
    0.20164E+02;    0.25238E+00;    0.29737E+02;    0.19972E+01;    0.28425E+01;    0.17185E+02;    0.79918E+02;    0.90671E+00;    0.24938E+00;    0.20072E+02;    0.56139E+05;    0.25138E+02;    0.50378E+02;    0.90083E+00;   -0.38208E-02;   -0.21237E+00;   -0.25613E-03;    0.18226E+00; 17        
