c_{A0}                        ;Q_{1}                         ;T_{1}                         ;L                             ;c_{A}                         ;c_{B}                         ;T_{2}                         ;Q_{5}                         ;Q_{4}                         ;T_{3}                         ;\mathrm{PCW}                  ;\mathrm{CNT}_{1}              ;\mathrm{CNT}_{3}=SP_{Q_{5}}   ;\mathrm{CNT}_{2}              ;\mathrm{INV\ CON}             ;\mathrm{CW\ DP\ CON}          ;\mathrm{EFFL\ DP\ CON}        ;\mathrm{MOLBAL\ CON}          ;     CLASS
    0.19723E+02;    0.25104E+00;    0.29703E+02;    0.20000E+01;    0.28415E+01;    0.17066E+02;    0.80143E+02;    0.91018E+00;    0.25315E+00;    0.19962E+02;    0.56363E+05;    0.25316E+02;    0.50729E+02;    0.90551E+00;    0.45483E-04;   -0.21868E+00;    0.27103E-02;   -0.99643E-01; 17        
    0.19880E+02;    0.25046E+00;    0.30102E+02;    0.20170E+01;    0.28539E+01;    0.16834E+02;    0.79889E+02;    0.90309E+00;    0.25307E+00;    0.20301E+02;    0.55995E+05;    0.25210E+02;    0.50538E+02;    0.89884E+00;    0.25371E-01;   -0.21798E+00;    0.30636E-02;   -0.25518E+00; 17        
    0.20019E+02;    0.25174E+00;    0.30038E+02;    0.20131E+01;    0.28460E+01;    0.17162E+02;    0.79908E+02;    0.90294E+00;    0.25404E+00;    0.20255E+02;    0.55244E+05;    0.25027E+02;    0.50580E+02;    0.90159E+00;    0.19105E-01;   -0.21147E+00;    0.48661E-02;    0.57477E+00; 17        
    0.20134E+02;    0.25103E+00;    0.30286E+02;    0.19957E+01;    0.28236E+01;    0.16995E+02;    0.79910E+02;    0.89933E+00;    0.25004E+00;    0.20078E+02;    0.55523E+05;    0.25105E+02;    0.50516E+02;    0.90136E+00;   -0.70770E-02;   -0.21654E+00;    0.55952E-03;   -0.51157E+00; 17        
    0.20077E+02;    0.24615E+00;    0.29705E+02;    0.19962E+01;    0.28272E+01;    0.17218E+02;    0.80026E+02;    0.90354E+00;    0.24948E+00;    0.19939E+02;    0.56156E+05;    0.25227E+02;    0.50659E+02;    0.90243E+00;   -0.62464E-02;   -0.22173E+00;   -0.55035E-03;    0.18716E+00; 17        
    0.19802E+02;    0.25081E+00;    0.30048E+02;    0.20016E+01;    0.28154E+01;    0.17225E+02;    0.79721E+02;    0.90239E+00;    0.25312E+00;    0.20283E+02;    0.55645E+05;    0.25160E+02;    0.50428E+02;    0.89613E+00;    0.14913E-02;   -0.21282E+00;    0.33825E-02;    0.33074E+00; 17        
    0.19958E+02;    0.24987E+00;    0.29934E+02;    0.19989E+01;    0.28501E+01;    0.17161E+02;    0.79897E+02;    0.89982E+00;    0.25034E+00;    0.20050E+02;    0.56637E+05;    0.25045E+02;    0.50336E+02;    0.89535E+00;   -0.28444E-02;   -0.22330E+00;    0.11234E-02;    0.16401E+00; 17        
    0.20073E+02;    0.25210E+00;    0.29949E+02;    0.20019E+01;    0.28111E+01;    0.17116E+02;    0.79936E+02;    0.89918E+00;    0.24807E+00;    0.20039E+02;    0.56903E+05;    0.24930E+02;    0.50462E+02;    0.89999E+00;    0.14673E-02;   -0.22930E+00;   -0.63658E-03;   -0.90592E-02; 17        
    0.19773E+02;    0.25015E+00;    0.29959E+02;    0.20067E+01;    0.28749E+01;    0.16974E+02;    0.80025E+02;    0.89552E+00;    0.25105E+00;    0.19889E+02;    0.56396E+05;    0.25466E+02;    0.50347E+02;    0.89823E+00;    0.86555E-02;   -0.22545E+00;   -0.72368E-04;   -0.99086E-01; 17        
    0.20112E+02;    0.24538E+00;    0.29850E+02;    0.19984E+01;    0.28374E+01;    0.17084E+02;    0.80018E+02;    0.90344E+00;    0.24752E+00;    0.20093E+02;    0.55305E+05;    0.25086E+02;    0.50549E+02;    0.90049E+00;   -0.42092E-02;   -0.21093E+00;   -0.18823E-02;   -0.14710E+00; 17        
    0.19952E+02;    0.25286E+00;    0.30127E+02;    0.19875E+01;    0.28431E+01;    0.17069E+02;    0.79857E+02;    0.89965E+00;    0.25530E+00;    0.20031E+02;    0.56324E+05;    0.25000E+02;    0.50490E+02;    0.90736E+00;   -0.20437E-01;   -0.22368E+00;    0.63072E-02;   -0.49720E+00; 17        
    0.19929E+02;    0.24861E+00;    0.30090E+02;    0.19992E+01;    0.28133E+01;    0.17010E+02;    0.80126E+02;    0.89754E+00;    0.25132E+00;    0.19972E+02;    0.56685E+05;    0.25757E+02;    0.50498E+02;    0.89874E+00;   -0.27025E-02;   -0.22954E+00;   -0.10796E-02;   -0.40280E+00; 17        
    0.19717E+02;    0.25036E+00;    0.29796E+02;    0.20113E+01;    0.28385E+01;    0.17083E+02;    0.79897E+02;    0.90341E+00;    0.25126E+00;    0.20014E+02;    0.55528E+05;    0.25218E+02;    0.50307E+02;    0.90025E+00;    0.15283E-01;   -0.20804E+00;    0.12378E-02;    0.25212E+00; 17        
    0.19943E+02;    0.24806E+00;    0.29937E+02;    0.19921E+01;    0.28334E+01;    0.17058E+02;    0.80200E+02;    0.89808E+00;    0.24984E+00;    0.19927E+02;    0.55960E+05;    0.25293E+02;    0.50484E+02;    0.90548E+00;   -0.13203E-01;   -0.22147E+00;   -0.47083E-03;   -0.39987E+00; 17        
    0.20001E+02;    0.24796E+00;    0.30205E+02;    0.20080E+01;    0.28461E+01;    0.17162E+02;    0.79899E+02;    0.89598E+00;    0.25224E+00;    0.20138E+02;    0.56189E+05;    0.25447E+02;    0.50338E+02;    0.90084E+00;    0.10759E-01;   -0.22272E+00;    0.12010E-02;    0.44190E+00; 17        
    0.20121E+02;    0.25196E+00;    0.29968E+02;    0.20092E+01;    0.28545E+01;    0.17100E+02;    0.79988E+02;    0.90552E+00;    0.25022E+00;    0.19890E+02;    0.56286E+05;    0.24955E+02;    0.50359E+02;    0.90556E+00;    0.12825E-01;   -0.21461E+00;    0.13833E-02;    0.31923E+00; 17        
    0.20083E+02;    0.24620E+00;    0.30056E+02;    0.20070E+01;    0.28687E+01;    0.17176E+02;    0.79896E+02;    0.90490E+00;    0.24820E+00;    0.19810E+02;    0.57222E+05;    0.25521E+02;    0.50562E+02;    0.90209E+00;    0.99191E-02;   -0.22889E+00;   -0.31673E-02;    0.52371E+00; 17        
    0.20069E+02;    0.25024E+00;    0.30036E+02;    0.20120E+01;    0.28476E+01;    0.17212E+02;    0.79966E+02;    0.90101E+00;    0.24988E+00;    0.20099E+02;    0.55988E+05;    0.25414E+02;    0.50462E+02;    0.90416E+00;    0.17551E-01;   -0.21836E+00;   -0.10261E-02;    0.72887E+00; 17        
    0.20161E+02;    0.25202E+00;    0.30171E+02;    0.19935E+01;    0.28937E+01;    0.17145E+02;    0.79959E+02;    0.89646E+00;    0.24917E+00;    0.19988E+02;    0.56293E+05;    0.25072E+02;    0.50192E+02;    0.89605E+00;   -0.11128E-01;   -0.22012E+00;   -0.15712E-03;    0.84126E-01; 17        
    0.19893E+02;    0.25461E+00;    0.30068E+02;    0.19941E+01;    0.28570E+01;    0.17125E+02;    0.79921E+02;    0.90659E+00;    0.24938E+00;    0.20005E+02;    0.56790E+05;    0.25203E+02;    0.50539E+02;    0.89959E+00;   -0.95163E-02;   -0.22244E+00;   -0.53321E-03;   -0.57407E-01; 17        
    0.20148E+02;    0.24852E+00;    0.30114E+02;    0.19999E+01;    0.28690E+01;    0.17213E+02;    0.79879E+02;    0.89885E+00;    0.25097E+00;    0.20138E+02;    0.56664E+05;    0.25539E+02;    0.50561E+02;    0.89963E+00;   -0.46138E-03;   -0.22940E+00;   -0.45935E-03;    0.42026E+00; 17        
    0.19792E+02;    0.25088E+00;    0.29929E+02;    0.19968E+01;    0.28426E+01;    0.17268E+02;    0.79959E+02;    0.89751E+00;    0.25181E+00;    0.20120E+02;    0.56730E+05;    0.25540E+02;    0.50399E+02;    0.89758E+00;   -0.44466E-02;   -0.22790E+00;    0.38506E-03;    0.41945E+00; 17        
    0.20159E+02;    0.25125E+00;    0.30011E+02;    0.20013E+01;    0.28425E+01;    0.17031E+02;    0.79994E+02;    0.89438E+00;    0.24646E+00;    0.20104E+02;    0.56087E+05;    0.24802E+02;    0.50536E+02;    0.90436E+00;    0.28377E-02;   -0.22757E+00;   -0.16694E-02;   -0.15483E+00; 17        
    0.19946E+02;    0.25099E+00;    0.30082E+02;    0.19938E+01;    0.28490E+01;    0.17103E+02;    0.80285E+02;    0.90468E+00;    0.25545E+00;    0.19833E+02;    0.56655E+05;    0.25164E+02;    0.50604E+02;    0.89836E+00;   -0.81904E-02;   -0.22440E+00;    0.57071E-02;   -0.13804E+00; 17        
    0.20033E+02;    0.25257E+00;    0.30237E+02;    0.19891E+01;    0.28472E+01;    0.16999E+02;    0.80124E+02;    0.89719E+00;    0.25175E+00;    0.20085E+02;    0.55579E+05;    0.25304E+02;    0.50220E+02;    0.89525E+00;   -0.15713E-01;   -0.21290E+00;    0.13900E-02;   -0.62569E+00; 17        
    0.19644E+02;    0.25060E+00;    0.29944E+02;    0.19963E+01;    0.28162E+01;    0.16847E+02;    0.80006E+02;    0.90253E+00;    0.24848E+00;    0.20113E+02;    0.56305E+05;    0.25115E+02;    0.50529E+02;    0.90214E+00;   -0.51137E-02;   -0.22145E+00;   -0.10492E-02;   -0.96881E+00; 17        
    0.19975E+02;    0.24567E+00;    0.30061E+02;    0.19867E+01;    0.28708E+01;    0.17228E+02;    0.79986E+02;    0.90243E+00;    0.25064E+00;    0.20186E+02;    0.56307E+05;    0.25544E+02;    0.50479E+02;    0.90093E+00;   -0.19752E-01;   -0.22050E+00;   -0.78624E-03;    0.47387E-01; 17        
    0.19776E+02;    0.24869E+00;    0.30033E+02;    0.20019E+01;    0.28400E+01;    0.17288E+02;    0.79796E+02;    0.89396E+00;    0.25311E+00;    0.19797E+02;    0.56563E+05;    0.25514E+02;    0.50484E+02;    0.90129E+00;    0.37672E-02;   -0.23162E+00;    0.17790E-02;    0.60973E+00; 17        
    0.19832E+02;    0.24761E+00;    0.29880E+02;    0.20042E+01;    0.28653E+01;    0.16933E+02;    0.79865E+02;    0.89694E+00;    0.25041E+00;    0.20119E+02;    0.56379E+05;    0.25666E+02;    0.50394E+02;    0.90046E+00;    0.72488E-02;   -0.22487E+00;   -0.16014E-02;   -0.30563E+00; 17        
    0.19900E+02;    0.24890E+00;    0.30068E+02;    0.20055E+01;    0.27826E+01;    0.17044E+02;    0.79910E+02;    0.89550E+00;    0.25337E+00;    0.19943E+02;    0.56112E+05;    0.25271E+02;    0.50507E+02;    0.89894E+00;    0.10180E-01;   -0.22606E+00;    0.31221E-02;   -0.15304E+00; 17        
    0.19645E+02;    0.25215E+00;    0.30074E+02;    0.19815E+01;    0.28737E+01;    0.17176E+02;    0.79971E+02;    0.89880E+00;    0.24747E+00;    0.19967E+02;    0.56330E+05;    0.25273E+02;    0.50303E+02;    0.89916E+00;   -0.25847E-01;   -0.22056E+00;   -0.27348E-02;   -0.19496E+00; 17        
    0.19803E+02;    0.24984E+00;    0.29891E+02;    0.19950E+01;    0.28368E+01;    0.17104E+02;    0.79923E+02;    0.89384E+00;    0.24883E+00;    0.20062E+02;    0.56340E+05;    0.25055E+02;    0.50268E+02;    0.89998E+00;   -0.52321E-02;   -0.22484E+00;   -0.42684E-03;   -0.11560E+00; 17        
    0.19934E+02;    0.25356E+00;    0.29940E+02;    0.20013E+01;    0.28327E+01;    0.16998E+02;    0.79913E+02;    0.90420E+00;    0.25206E+00;    0.20021E+02;    0.56457E+05;    0.25296E+02;    0.50391E+02;    0.90557E+00;    0.46244E-02;   -0.21831E+00;    0.17147E-02;   -0.24832E+00; 17        
    0.19851E+02;    0.25062E+00;    0.30108E+02;    0.20054E+01;    0.28728E+01;    0.17027E+02;    0.79977E+02;    0.90152E+00;    0.25336E+00;    0.19881E+02;    0.56601E+05;    0.25236E+02;    0.50413E+02;    0.90696E+00;    0.11189E-01;   -0.22290E+00;    0.32646E-02;    0.95987E-01; 17        
    0.19740E+02;    0.24947E+00;    0.29867E+02;    0.19913E+01;    0.28730E+01;    0.17326E+02;    0.79940E+02;    0.89804E+00;    0.25117E+00;    0.20050E+02;    0.56549E+05;    0.24848E+02;    0.50279E+02;    0.89424E+00;   -0.10013E-01;   -0.22298E+00;    0.28575E-02;    0.55472E+00; 17        
    0.20062E+02;    0.25096E+00;    0.29884E+02;    0.19968E+01;    0.28789E+01;    0.17109E+02;    0.80265E+02;    0.89718E+00;    0.25060E+00;    0.19945E+02;    0.56494E+05;    0.25018E+02;    0.50407E+02;    0.89978E+00;   -0.15921E-02;   -0.22605E+00;    0.15077E-02;    0.88298E-01; 17        
    0.20193E+02;    0.25075E+00;    0.30038E+02;    0.19923E+01;    0.28438E+01;    0.16982E+02;    0.80035E+02;    0.89336E+00;    0.25183E+00;    0.20038E+02;    0.56045E+05;    0.25116E+02;    0.50391E+02;    0.89758E+00;   -0.85121E-02;   -0.22506E+00;    0.23126E-02;   -0.53033E+00; 17        
    0.19820E+02;    0.25102E+00;    0.29875E+02;    0.20099E+01;    0.28440E+01;    0.16995E+02;    0.79844E+02;    0.90018E+00;    0.24485E+00;    0.20357E+02;    0.56850E+05;    0.25282E+02;    0.50261E+02;    0.89958E+00;    0.18362E-01;   -0.22341E+00;   -0.54562E-02;    0.41365E-01; 17        
    0.20109E+02;    0.25274E+00;    0.29783E+02;    0.19989E+01;    0.28114E+01;    0.17326E+02;    0.79750E+02;    0.89954E+00;    0.24702E+00;    0.19916E+02;    0.56673E+05;    0.25146E+02;    0.50305E+02;    0.89587E+00;    0.24606E-02;   -0.22326E+00;   -0.26520E-02;    0.62497E+00; 17        
    0.20019E+02;    0.25056E+00;    0.30035E+02;    0.20078E+01;    0.28729E+01;    0.17111E+02;    0.80148E+02;    0.89779E+00;    0.24841E+00;    0.20126E+02;    0.56512E+05;    0.25074E+02;    0.50614E+02;    0.89931E+00;    0.15736E-01;   -0.23009E+00;   -0.96111E-03;    0.41326E+00; 17        
    0.19948E+02;    0.24777E+00;    0.29974E+02;    0.20073E+01;    0.28263E+01;    0.17015E+02;    0.80268E+02;    0.90099E+00;    0.25091E+00;    0.19932E+02;    0.55467E+05;    0.25189E+02;    0.50395E+02;    0.89831E+00;    0.14933E-01;   -0.21173E+00;    0.10198E-02;   -0.46587E-01; 17        
    0.19931E+02;    0.25283E+00;    0.29980E+02;    0.20022E+01;    0.28356E+01;    0.17140E+02;    0.80217E+02;    0.90104E+00;    0.24961E+00;    0.20085E+02;    0.56355E+05;    0.25309E+02;    0.50447E+02;    0.90479E+00;    0.72580E-02;   -0.22166E+00;   -0.79978E-03;    0.21107E+00; 17        
    0.19998E+02;    0.25022E+00;    0.29931E+02;    0.19972E+01;    0.28092E+01;    0.17136E+02;    0.80266E+02;    0.89617E+00;    0.24823E+00;    0.19976E+02;    0.55837E+05;    0.25086E+02;    0.50303E+02;    0.90044E+00;   -0.22607E-03;   -0.21827E+00;   -0.11714E-02;   -0.26620E-01; 17        
    0.20009E+02;    0.25549E+00;    0.30075E+02;    0.19968E+01;    0.28682E+01;    0.17113E+02;    0.79949E+02;    0.90168E+00;    0.25005E+00;    0.19835E+02;    0.56299E+05;    0.25255E+02;    0.50278E+02;    0.90214E+00;   -0.10908E-02;   -0.21683E+00;   -0.10076E-03;    0.66139E-01; 17        
    0.20005E+02;    0.24942E+00;    0.30313E+02;    0.19976E+01;    0.28454E+01;    0.17085E+02;    0.79756E+02;    0.90327E+00;    0.24891E+00;    0.20023E+02;    0.56194E+05;    0.25429E+02;    0.50481E+02;    0.90433E+00;    0.45849E-04;   -0.21857E+00;   -0.20250E-02;   -0.56969E-01; 17        
    0.20010E+02;    0.24960E+00;    0.30022E+02;    0.19873E+01;    0.28539E+01;    0.16936E+02;    0.80095E+02;    0.90634E+00;    0.25290E+00;    0.19718E+02;    0.56279E+05;    0.25474E+02;    0.50335E+02;    0.90120E+00;   -0.15234E-01;   -0.21319E+00;    0.17918E-02;   -0.79154E+00; 17        
    0.19697E+02;    0.25263E+00;    0.29884E+02;    0.19901E+01;    0.28458E+01;    0.17215E+02;    0.79981E+02;    0.90481E+00;    0.24740E+00;    0.20108E+02;    0.56561E+05;    0.25072E+02;    0.50525E+02;    0.90229E+00;   -0.11494E-01;   -0.22163E+00;   -0.19196E-02;    0.10243E+00; 17        
    0.19903E+02;    0.24814E+00;    0.30121E+02;    0.19994E+01;    0.28465E+01;    0.17183E+02;    0.80005E+02;    0.90367E+00;    0.24765E+00;    0.19799E+02;    0.55668E+05;    0.25263E+02;    0.50412E+02;    0.90278E+00;    0.26255E-02;   -0.21141E+00;   -0.25463E-02;    0.28434E+00; 17        
    0.19771E+02;    0.25031E+00;    0.29872E+02;    0.19884E+01;    0.28607E+01;    0.17093E+02;    0.80152E+02;    0.90110E+00;    0.24948E+00;    0.20157E+02;    0.56651E+05;    0.25035E+02;    0.50316E+02;    0.89851E+00;   -0.14416E-01;   -0.22173E+00;    0.33192E-03;   -0.27920E+00; 17        
    0.20180E+02;    0.24857E+00;    0.30125E+02;    0.19960E+01;    0.28388E+01;    0.17054E+02;    0.79914E+02;    0.90292E+00;    0.24969E+00;    0.19885E+02;    0.56419E+05;    0.24942E+02;    0.50499E+02;    0.90186E+00;   -0.31335E-02;   -0.22154E+00;    0.94144E-03;   -0.22672E+00; 17        
    0.19980E+02;    0.24983E+00;    0.30094E+02;    0.19972E+01;    0.28658E+01;    0.16943E+02;    0.80124E+02;    0.90075E+00;    0.25004E+00;    0.20037E+02;    0.56354E+05;    0.25059E+02;    0.50616E+02;    0.90365E+00;   -0.11799E-02;   -0.22558E+00;    0.76413E-03;   -0.44563E+00; 17        
    0.20310E+02;    0.25047E+00;    0.29954E+02;    0.20063E+01;    0.28440E+01;    0.17048E+02;    0.79979E+02;    0.90049E+00;    0.24830E+00;    0.19985E+02;    0.55946E+05;    0.25278E+02;    0.50352E+02;    0.89830E+00;    0.11972E-01;   -0.21609E+00;   -0.19866E-02;    0.69390E-01; 17        
